Nummer,Boeking,Leverancier,Factuur_Datum,Factuur_Nummer,Totaal,Betaald,Laatst_Betaald_Op,Te_Betalen,B,Limietdatum
2025/00545,18/02/2025,GEMEENTE MIDDELKERKE,11/02/2025,89,2500,2500,,,,
2025/00546,18/02/2025,EVERCLEAN4U,16/02/2025,25700137,182.26,182.26,17/02/2025,,,
2025/00547,20/02/2025,LUMINUS - GAS,18/02/2025,3433980062,9721.7,9721.7,19/02/2025,,,
2025/00548,20/02/2025,KLEINE UITGAVEN,14/02/2025,2025/00548,11.67,11.67,19/02/2025,,,
2025/00549,20/02/2025,TELENET,20/02/2025,2538000384212,91.89,91.89,20/02/2025,,,
2025/00550,21/02/2025,Aaron Dehottay A-P-M CLAEN,21/02/2025,2025/008,363,363,21/02/2025,,,
2025/00551,28/02/2025,EQUANS,28/02/2025,5801553293,1344.14,1344.14,28/02/2025,,,
2025/00552,28/02/2025,Aaron Dehottay A-P-M CLAEN,28/02/2025,2025/0014,363,363,28/02/2025,,,
2025/00553,28/02/2025,SARRAZIJN,28/02/2025,2025101,485.48,485.48,28/02/2025,,,
2025/00554,06/03/2025,Vercon Construct,17/03/2025,2025031,3049.62,3049.62,04/03/2025,,,
2025/00555,06/03/2025,KLEINE UITGAVEN,06/03/2025,202500555,3642.4,3642.4,04/03/2025,,,
2025/00556,06/03/2025,KLEINE UITGAVEN,06/03/2025,2025/0056,25,25,14/03/2025,,,
2025/00557,06/03/2025,BRICO,06/03/2025,2025/00557,59.95,59.95,04/03/2025,,,
2025/00559,06/03/2025,KLEINE UITGAVEN,06/03/2025,2025/00559,112.85,112.85,05/03/2025,,,
2025/00560,06/03/2025,LUMINUS - GAS,06/03/2025,455033048,11132.04,11132.04,06/03/2025,,,
2025/00561,06/03/2025,Casselman,06/03/2025,2025/0343,84.7,84.7,06/03/2025,,,
2025/00562,11/03/2025,Aaron Dehottay A-P-M CLAEN,11/03/2025,2025/019,363,363,11/03/2025,,,
2025/00563,11/03/2025,KLEINE UITGAVEN,11/03/2025,2025/00563,31.95,31.95,10/03/2025,,,
2025/00564,11/03/2025,FARYS,02/03/2025,1109732997,7599,7599,11/03/2025,,,
2025/00565,14/03/2025,IMMO BEACH - ereloon beheer,17/03/2025,2025/00011,16561.02,16561.02,14/03/2025,,,
2025/00566,14/03/2025,VEOLIA,28/02/2025,2104652673,479.22,479.22,,,,
2025/00567,14/03/2025,GROEP S,25/02/2025,018307/14886,133.84,133.84,26/02/2025,,,
2025/00568,14/03/2025,GROEP S,11/04/2025,018307/14887,974.76,974.76,26/02/2025,,,
2025/00569,14/03/2025,ELEKTRO POWER,13/03/2025,20250100,1251.49,1251.49,,,,
2025/00572,14/03/2025,IMMO BEACH - schoonmaak,12/04/2025,14/03/2025,1575,1575,,,,
2025/00573,14/03/2025,MENSURA,23/01/2025,25004290,65.31,65.31,,,,
2025/00574,14/03/2025,KLEINE UITGAVEN,14/03/2025,202500574,178,178,,,,
2025/00575,14/03/2025,KLEINE UITGAVEN,14/03/2025,2025/00575,810,810,,,,
2025/00577,14/03/2025,ELEKTRO POWER,14/03/2024,20240056,53,53,,,,
2025/00578,14/03/2025,ELEKTRO POWER,14/02/2024,20240015,289.91,289.91,,,,
2025/00579,14/03/2025,GROEP S,27/03/2025,2025/0008,624.51,624.51,,,,
2025/00580,14/03/2025,GROEP S,27/03/2025,2025/0009,133.84,133.84,,,,
2025/00581,14/03/2025,LUMINUS - GAS,07/04/2025,3847881331,6746.46,6746.46,,,,
2025/00582,14/03/2025,VEOLIA,31/03/2025,2104682389,415.02,415.02,,,,
2025/00583,14/03/2025,GROEP S,08/04/2025,2025/00010,41.02,41.02,,,,
2025/00584,14/03/2025,GROEP S,08/04/2025,2025/0011,1940.14,1940.14,,,,
2025/00585,14/03/2025,DE LIFT,29/04/2025,VF12515783,2005.48,2005.48,,,,
2025/00586,14/03/2025,DE LIFT,29/04/2025,VF12515785,1704.27,1704.27,,,,
2025/00587,14/03/2025,DE LIFT,29/04/2025,V12515784,1586.64,1586.64,,,,
2025/00588,14/03/2025,WEST COAST INVESTMENTS,14/03/2025,2025/00588,6931.01,6931.01,14/03/2025,,14/03/2025,
2025/00589,14/03/2025,IMMO BEACH - telefoon,22/06/2025,2025/00021,572.15,572.15,22/06/2025,,22/06/2025,
2025/00590,14/03/2025,IMMO BEACH - drukwerk,22/06/2025,25/00022,1128.72,1128.72,22/06/2025,,22/06/2025,
2025/00591,14/03/2025,IMMO BEACH - drukwerk,30/06/2025,25/00023,1293.05,1293.05,30/06/2025,,30/06/2025,
2025/00592,14/03/2025,KLEINE UITGAVEN,27/06/2025,2025/00592,875,545,14/03/2025,"330,00",27/06/2025,
2025/00593,14/03/2025,Aaron Dehottay A-P-M CLAEN,14/03/2025,2025-025,363,363,11/03/2025,,,
2025/00594,14/03/2025,ADVOCATENKANTOOR EQUATOR - A,14/03/2025,2025/00594,2075.95,2075.95,20/06/2024,,,
